id,name,year,duration,genre,actors
1,Avengers: Endgame,2019,182 min,"Action, Adventure, Fantasy","Brie Larson,Winston Duke,Karen Gillan,Scarlett Johansson"
2,Captain Marvel,2019,123 min,"Action, Adventure, Sci-Fi","Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law"
3,The OA,2016,60 min,"Drama, Fantasy, Mystery","Brit Marling,Jason Isaacs,Scott Wilson,Alice Krige"
4,"Love, Death & Robots",2019,15 min,"Animation, Comedy, Fantasy","Scott Whyte,Nolan North,Matthew Yang King,Michael Benyaer"
5,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure","Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali"
6,Aquaman,2018,143 min,"Action, Adventure, Fantasy","Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson"
7,Stranger Things,2016,51 min,"Drama, Fantasy, Horror","Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour"
8,Hellboy,2019,120 min,"Action, Adventure, Fantasy","David Harbour,Ian McShane,Milla Jovovich,Penelope Mitchell"
9,Bumblebee,2018,114 min,"Action, Adventure, Sci-Fi","Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker"
10,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans"
11,Star Trek: Discovery,2017,60 min,"Action, Adventure, Drama","Sonequa Martin-Green,Doug Jones,Anthony Rapp,Mary Wiseman"
12,Gotham,"2014,2019",42 min,"Action, Crime, Drama","Ben McKenzie,Jada Pinkett Smith,Donal Logue,Camren Bicondova"
13,The Flash,2014,43 min,"Action, Adventure, Drama","Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes"
14,The Orville,2017,44 min,"Adventure, Comedy, Drama","Seth MacFarlane,Adrianne Palicki,Penny Johnson Jerald,Scott Grimes"
15,The Meg,2018,113 min,"Action, Horror, Sci-Fi","Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis"
16,Arrow,2012,42 min,"Action, Adventure, Crime","Stephen Amell,Katie Cassidy,David Ramsey,Susanna Thompson"
17,Doom Patrol,2019,60 min,"Action, Adventure, Comedy","Diane Guerrero,April Bowlby,Alan Tudyk,Matt Bomer"
18,Black Mirror,2011,60 min,"Drama, Sci-Fi, Thriller","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones"
19,Alita: Battle Angel,2019,122 min,"Action, Adventure, Romance","Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali"
20,Spider-Man: Far From Home,2019,,"Action, Adventure, Comedy","Zendaya,Laura Harrier,Samuel L. Jackson,Tom Holland"
21,The 100,2014,43 min,"Drama, Mystery, Sci-Fi","Eliza Taylor,Bob Morley,Marie Avgeropoulos,Isaiah Washington"
22,Captive State,2019,109 min,"Sci-Fi, Thriller","John Goodman,Ashton Sanders,Jonathan Majors,Vera Farmiga"
23,Mortal Engines,2018,128 min,"Action, Adventure, Fantasy","Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae"
24,Deadpool 2,2018,119 min,"Action, Adventure, Comedy","Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison"
25,Black Panther,2018,134 min,"Action, Adventure, Sci-Fi","Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira"
26,Supergirl,2015,43 min,"Action, Adventure, Drama","Melissa Benoist,Mehcad Brooks,Chyler Leigh,David Harewood"
27,The Handmaid's Tale,2017,60 min,"Drama, Sci-Fi, Thriller","Elisabeth Moss,Max Minghella,Amanda Brugel,Yvonne Strahovski"
28,Thor: Ragnarok,2017,130 min,"Action, Adventure, Comedy","Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo"
29,The Twilight Zone,2019,60 min,"Drama, Fantasy, Horror","Jordan Peele,Lesley Mirza,Shalyn Ferdinand,Peter Grant"
30,The Punisher,"2017,2019",53 min,"Action, Adventure, Crime","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore"
31,Terminator: Dark Fate,2019,,"Action, Adventure, Sci-Fi","Arnold Schwarzenegger,Mackenzie Davis,Linda Hamilton,Diego Boneta"
32,Dark Phoenix,2019,,"Action, Adventure, Sci-Fi","Jessica Chastain,Sophie Turner,Jennifer Lawrence,James McAvoy"
33,Suicide Squad,2016,123 min,"Action, Adventure, Fantasy","Will Smith,Jared Leto,Margot Robbie,Viola Davis"
34,Westworld,2016,62 min,"Drama, Mystery, Sci-Fi","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton"
35,Agents of S.H.I.E.L.D.,2013,45 min,"Action, Adventure, Drama","Clark Gregg,Ming-Na Wen,Brett Dalton,Iain De Caestecker"
36,Titans,2018,45 min,"Action, Adventure, Drama","Teagan Croft,Brenton Thwaites,Anna Diop,Ryan Potter"
37,The Expanse,2015,60 min,"Drama, Mystery, Sci-Fi","Steven Strait,Cas Anvar,Dominique Tipper,Wes Chatham"
38,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy","Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana"
39,Godzilla: King of the Monsters,2019,,"Action, Adventure, Fantasy","Millie Bobby Brown,Vera Farmiga,Charles Dance,Bradley Whitford"
40,Fear the Walking Dead,2015,44 min,"Drama, Horror, Sci-Fi","Kim Dickens,Frank Dillane,Cliff Curtis,Rubén Blades"
41,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy","Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel"
42,Doctor Who,2005,45 min,"Adventure, Drama, Family","Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith"
43,Jurassic World: Fallen Kingdom,2018,128 min,"Action, Adventure, Sci-Fi","Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith"
44,Overlord,2018,110 min,"Action, Adventure, Horror","Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbæk"
45,Star Wars: Episode IX,2019,,"Action, Adventure, Fantasy","Lupita Nyong'o,Keri Russell,Oscar Isaac,Mark Hamill"
46,Lost,"2004,2010",44 min,"Adventure, Drama, Fantasy","Jorge Garcia,Josh Holloway,Yunjin Kim,Evangeline Lilly"
47,Ant-Man and the Wasp,2018,118 min,"Action, Adventure, Comedy","Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins"
48,Glass,2019,129 min,"Drama, Sci-Fi, Thriller","James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy"
49,Rick and Morty,2013,23 min,"Animation, Adventure, Comedy","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke"
50,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner"
51,Altered Carbon,2018,60 min,"Action, Drama, Sci-Fi","Chris Conner,Renée Elise Goldsberry,Joel Kinnaman,James Purefoy"
52,Bird Box,2018,124 min,"Drama, Horror, Sci-Fi","Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson"
53,Venom,2018,112 min,"Action, Sci-Fi, Thriller","Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze"
54,Pokémon Detective Pikachu,2019,,"Action, Adventure, Comedy","Ryan Reynolds,Suki Waterhouse,Kathryn Newton,Rob Delaney"
55,A Quiet Place,2018,90 min,"Drama, Horror, Mystery","Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe"
56,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy"
57,Spider-Man: Homecoming,2017,133 min,"Action, Adventure, Sci-Fi","Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei"
58,Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth"
59,DC's Legends of Tomorrow,2016,42 min,"Action, Adventure, Drama","Brandon Routh,Caity Lotz,Amy Louise Pemberton,Dominic Purcell"
