id,name,year,duration,genre,actors
1,How to Train Your Dragon: The Hidden World,2019,1h 44m,"Animation,Family,Adventure","Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett,Gerard Butler"
2,Captain Marvel,2019,2h 4m,"Action,Adventure,Science Fiction","Brie Larson,Samuel L. Jackson,Jude Law,Ben Mendelsohn,Annette Bening"
3,Aquaman,2018,2h 24m,"Action,Adventure,Fantasy,Science Fiction","Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,Nicole Kidman"
4,Dumbo,2019,1h 52m,"Adventure,Family,Fantasy","Colin Farrell,Michael Keaton,Danny DeVito,Eva Green,Finley Hobbins"
5,Us,2019,1h 56m,"Thriller,Horror","Lupita Nyong'o,Winston Duke,Evan Alex,Shahadi Wright Joseph,Elisabeth Moss"
6,Glass,2019,2h 9m,"Thriller,Mystery,Drama,Fantasy,Science Fiction","James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy,Sarah Paulson"
7,A Vigilante,2019,1h 31m,"Thriller,Drama","Olivia Wilde,Morgan Spector,Kyle Catlett,C.J. Wilson,Tonye Patano"
8,The Mule,2018,1h 56m,"Crime,Drama,Thriller","Clint Eastwood,Bradley Cooper,Michael Peña,Laurence Fishburne,Andy García"
9,Shazam!,2019,2h 12m,"Action,Comedy,Adventure,Fantasy","Zachary Levi,Asher Angel,Jack Dylan Grazer,Mark Strong,Djimon Hounsou"
10,Bumblebee,2018,1h 54m,"Action,Adventure,Science Fiction","Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Ian Drucker,Pamela Adlon"
11,Happy Death Day 2U,2019,1h 40m,"Horror,Mystery,Thriller,Science Fiction,Comedy","Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma,Sarah Yarkin"
12,Pet Sematary,2019,1h 40m,"Horror,Thriller","Jason Clarke,Amy Seimetz,John Lithgow,Jeté Laurence,Lucas Lavoie"
13,Unplanned,2019,1h 46m,Drama,"Ashley Bratcher,Brooks Ryan,Robia LaMorte,Emma Elle Roberts,Robin DeMarco"
14,Avengers: Endgame,2019,3h 2m,"Adventure,Science Fiction,Action","Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Scarlett Johansson"
15,Avengers: Infinity War,2018,2h 29m,"Adventure,Action,Fantasy","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson"
16,Spider-Man: Into the Spider-Verse,2018,1h 57m,"Action,Adventure,Animation,Science Fiction,Comedy","Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry"
17,Fate/stay night: Heaven’s Feel II. lost butterfly,2019,2h 0m,"Animation,Action,Fantasy,Adventure","Noriaki Sugiyama,Noriko Shitaya,Ayako Kawasumi,Kana Ueda,Junichi Suwabe"
18,Alita: Battle Angel,2019,2h 2m,"Action,Science Fiction,Thriller,Adventure","Rosa Salazar,Christoph Waltz,Mahershala Ali,Keean Johnson,Jennifer Connelly"
19,The Kid Who Would Be King,2019,2h 0m,"Action,Adventure,Fantasy,Family","Louis Ashbourne Serkis,Tom Taylor,Rebecca Ferguson,Patrick Stewart,Dean Chaumoo"
20,Cars,2006,1h 57m,"Animation,Adventure,Comedy,Family","Owen Wilson,Paul Newman,Bonnie Hunt,Larry the Cable Guy,Tony Shalhoub"
21,Five Feet Apart,2019,1h 56m,"Romance,Drama","Haley Lu Richardson,Cole Sprouse,Moisés Arias,Kimberly Hebert Gregory,Parminder Nagra"
22,Fantastic Beasts: The Crimes of Grindelwald,2018,2h 14m,"Family,Fantasy,Adventure","Eddie Redmayne,Katherine Waterston,Alison Sudol,Johnny Depp,Jude Law"
23,Master Z: Ip Man Legacy,2018,1h 47m,Action,"Zhang Jin,Dave Bautista,Liu Yan,Xing Yu,Michelle Yeoh"
24,Ralph Breaks the Internet,2018,1h 52m,"Family,Animation,Comedy,Fantasy","John C. Reilly,Sarah Silverman,Gal Gadot,Taraji P. Henson,Jack McBrayer"
25,The Highwaymen,2019,2h 13m,"Crime,Drama,Thriller","Kevin Costner,Woody Harrelson,Kathy Bates,John Carroll Lynch,Thomas Mann"
26,Triple Threat,2019,1h 36m,"Thriller,Action,Crime","Tony Jaa,Iko Uwais,Tiger Hu Chen,Scott Adkins,Michael Jai White"
27,Escape Room,2019,1h 39m,"Horror,Thriller,Action,Science Fiction,Adventure,Drama,Mystery","Taylor Russell,Logan Miller,Deborah Ann Woll,Tyler Labine,Jay Ellis"
28,A Dog's Way Home,2019,1h 36m,"Drama,Family,Adventure","Ashley Judd,Jonah Hauer-King,Edward James Olmos,Alexandra Shipp,Chris Bauer"
29,The Avengers,2012,2h 23m,"Science Fiction,Action,Adventure","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson"
30,Welcome to Marwen,2018,1h 56m,"Drama,Comedy,Fantasy","Steve Carell,Leslie Mann,Merritt Wever,Janelle Monáe,Diane Kruger"
31,Guardians of the Galaxy,2014,2h 1m,"Action,Science Fiction,Adventure","Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper"
32,Thor: Ragnarok,2017,2h 11m,"Action,Adventure,Comedy,Fantasy,Science Fiction","Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Idris Elba,Jeff Goldblum"
33,Redcon-1,2018,1h 57m,"Action,Horror","Oris Erhuero,Carlos Gallardo,Mark Strange,Joshua Dickinson,Martyn Ford"
34,Mortal Engines,2018,2h 9m,"Science Fiction,Action,Adventure,Fantasy,Thriller","Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae,Ronan Raftery"
35,Mary Poppins Returns,2018,2h 11m,"Fantasy,Family,Comedy","Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Emily Mortimer,Pixie Davies"
36,Triple Frontier,2019,2h 6m,"Action,Thriller,Crime","Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund,Pedro Pascal"
37,A Madea Family Funeral,2019,1h 44m,Comedy,"Tyler Perry,Patrice Lovely,Cassi Davis,Ciera Payton,KJ Smith"
38,The Dirt,2019,1h 48m,"Drama,Music,Comedy","Douglas Booth,Machine Gun Kelly,Iwan Rheon,Daniel Webber,Tony Cavalero"
39,Bohemian Rhapsody,2018,2h 15m,"Drama,Music","Rami Malek,Gwilym Lee,Ben Hardy,Joseph Mazzello,Lucy Boynton"
40,Venom,2018,1h 52m,"Science Fiction,Action","Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze,Reid Scott"
41,Level 16,2018,1h 42m,"Science Fiction,Thriller","Katie Douglas,Celina Martin,Sara Canning,Peter Outerbridge,Alexis Whelan"
42,Creed II,2018,2h 10m,Drama,"Michael B. Jordan,Sylvester Stallone,Wood Harris,Phylicia Rashād,Dolph Lundgren"
43,The Beach Bum,2019,1h 35m,Comedy,"Matthew McConaughey,Snoop Dogg,Isla Fisher,Stefania LaVie Owen,Zac Efron"
44,Balkan Line,2019,2h 10m,"Drama,Action","Anton Pampushnyy,Yuriy Kutsenko,Miloš Biković,Milena Radulović,Gojko Mitić"
45,Black Panther,2018,2h 14m,"Action,Adventure,Fantasy,Science Fiction","Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman"
46,Harry Potter and the Philosopher's Stone,2001,2h 32m,"Adventure,Fantasy,Family","Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris,Tom Felton"
47,Dragged Across Concrete,2019,2h 39m,"Drama,Crime,Action,Thriller","Mel Gibson,Vince Vaughn,Tory Kittles,Don Johnson,Jennifer Carpenter"
48,Batman v Superman: Dawn of Justice,2016,2h 31m,"Action,Adventure,Fantasy","Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg"
49,Vice,2018,2h 12m,"Drama,History,Comedy","Christian Bale,Amy Adams,Steve Carell,Sam Rockwell,Tyler Perry"
50,Guardians of the Galaxy Vol. 2,2017,2h 17m,"Action,Adventure,Comedy,Science Fiction","Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper"
51,The Hobbit: The Battle of the Five Armies,2014,2h 24m,"Action,Adventure,Fantasy","Martin Freeman,Ian McKellen,Richard Armitage,Evangeline Lilly,Luke Evans"
52,Deadpool 2,2018,2h 1m,"Action,Comedy,Adventure","Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,Zazie Beetz"
53,Trainspotting,1996,1h 34m,"Drama,Crime","Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle,Kelly Macdonald"
54,Avengers: Age of Ultron,2015,2h 21m,"Action,Adventure,Science Fiction","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson"
55,Destroyer,2018,2h 1m,"Thriller,Crime,Drama,Action","Nicole Kidman,Sebastian Stan,Tatiana Maslany,Bradley Whitford,Toby Kebbell"
56,Mirage,2018,2h 8m,"Science Fiction,Thriller,Drama,Romance","Adriana Ugarte,Javier Gutiérrez,Álvaro Morte,Chino Darín,Nora Navas"
57,Holmes & Watson,2018,1h 30m,"Mystery,Adventure,Comedy,Crime","Will Ferrell,John C. Reilly,Rebecca Hall,Ralph Fiennes,Hugh Laurie"
58,Captive State,2019,1h 50m,"Thriller,Science Fiction","John Goodman,Vera Farmiga,Ashton Sanders,Machine Gun Kelly,Madeline Brewer"
59,Ant-Man and the Wasp,2018,1h 59m,"Action,Adventure,Science Fiction,Comedy,Family","Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,Bobby Cannavale"
