A_id,B_id
68,4861
208,4861
616,4079
1444,4162
201,1402
3480,1257
1379,90
4480,1542
2315,2902
341,849
2562,849
4356,1231
1939,1884
4735,1884
4480,1141
164,2202
164,2202
108,553
1010,1560
1010,1560
20,28
3292,28
3850,2680
4728,2196
1651,2196
3673,2196
591,3011
3905,933
3075,933
3688,933
2534,1625
4328,1625
4628,1625
2534,4603
4328,4603
4628,4603
2234,4219
2214,4525
58,2597
3926,4392
2602,4392
676,3531
935,1465
1492,1465
875,3061
3148,3005
1701,545
616,545
670,4867
4480,4489
2606,3477
104,182
1040,2850
529,1252
1043,4905
1171,1779
107,2963
107,276
230,286
1076,2025
1085,4626
2214,4915
522,3553
2637,1365
4953,1365
4953,448
6,142
1378,1330
686,2743
2629,2084
11,44
1118,2161
1118,2161
224,652
224,652
1873,652
40,135
323,1458
229,1482
4615,1482
1743,3722
113,432
51,291
201,1904
2609,2121
1184,4984
119,464
1211,1773
1211,1773
122,1318
1235,4492
96,270
2412,1550
2578,735
728,947
1646,3273
4763,3273
1095,1797
820,2429
3255,430
1721,1264
3401,1264
3901,4531
3619,4561
3932,4767
3702,4767
1511,4446
125,74
4473,1116
780,2756
1289,3458
1298,4214
1301,449
1301,449
574,449
73,318
131,242
328,1483
328,1483
1337,4200
134,95
2232,2126
4547,2397
2635,2005
2375,3872
2635,3388
417,4670
4731,4670
4141,4670
27,187
1491,2173
618,577
1869,3520
1023,940
4562,3610
797,2193
15,49
14,30
140,391
1640,823
2065,823
1015,1992
416,2757
1619,3469
1418,4357
143,1459
1442,1584
1442,1584
1721,1927
1917,1927
417,1927
1090,4998
197,163
3849,163
2699,3887
72,736
1478,1925
1517,4939
1799,4939
2732,4939
1294,4936
3088,4936
1499,4310
1615,4310
281,1066
1508,3293
951,3276
818,2430
1950,440
273,2660
735,2943
331,2349
152,321
152,321
1544,3504
155,1420
155,1420
314,297
449,228
1374,1012
3849,582
3863,785
1491,4182
1580,4195
331,2722
161,654
161,654
655,4894
3371,3310
4889,3310
52,160
1152,748
630,748
630,748
167,616
17,151
170,371
170,371
173,597
1739,2644
176,1463
333,661
187,4244
3479,3317
1814,4065
497,4458
1895,4508
630,3358
750,633
2712,4701
3933,4701
3158,4035
1979,3319
1979,3319
1985,4251
1985,4251
2,2
940,3527
826,3714
5,14
200,1668
3926,4858
206,539
3087,719
629,1944
629,1944
2995,1944
4318,538
215,535
218,502
181,697
378,2297
4086,833
3030,374
3998,3428
2234,3496
4021,4592
2710,4844
3121,1867
2423,3098
3671,600
4087,600
95,72
23,341
233,1352
2360,3014
3860,3014
1285,4148
1285,4148
2995,2269
2429,1602
75,283
4796,4304
245,256
248,706
248,706
2943,2205
2486,3084
251,741
254,635
257,279
156,279
32,80
257,271
156,271
26,53
62,115
117,310
549,244
2061,659
258,659
2847,659
572,852
269,4132
272,3871
192,302
163,315
363,185
287,892
1746,1953
558,2013
443,1590
29,146
2936,4069
2936,4069
932,1240
654,1345
395,2489
518,2705
296,602
879,412
299,647
64,99
308,1206
311,877
337,2519
317,1414
468,3629
320,4539
393,164
380,327
2106,327
326,610
326,610
917,4911
917,4750
932,4510
1137,1335
1137,1335
402,4104
344,3385
347,1659
35,1184
424,629
353,2964
144,239
359,1681
1083,2439
4684,872
1320,3981
3886,2246
362,919
414,224
368,828
371,1834
377,3658
93,2199
38,63
1144,3632
383,3042
386,147
231,204
415,1096
389,983
392,786
401,1140
685,4379
404,1284
41,70
419,1671
51,844
487,960
428,1379
259,899
834,2777
664,1475
2518,169
4715,4736
437,1294
44,10
446,1267
4565,3161
3906,3161
47,68
255,1822
723,3353
1701,4136
1633,4136
616,4136
473,2840
476,1894
482,1266
450,483
450,924
546,924
546,924
607,2079
488,4868
491,2146
50,26
509,3416
515,3667
521,3585
524,1514
53,89
533,2711
536,2698
3459,1418
542,491
3015,485
566,906
548,3247
554,1644
554,1644
557,4388
56,393
160,285
563,2683
214,114
578,1557
587,713
590,1449
596,2753
602,3025
605,1355
608,1734
617,2759
632,3233
3304,2027
65,761
650,4792
653,3048
659,1926
671,3897
680,2011
689,2998
1,15
695,3931
698,1634
704,3253
713,4102
716,2907
722,2671
734,3720
74,83
749,2578
42,71
77,91
770,2312
776,680
779,3022
782,2628
785,3719
794,3993
8,57
800,4548
806,986
812,4909
815,2665
821,3663
824,1835
827,4726
83,914
830,3139
845,3764
86,251
866,4605
869,1612
872,4055
89,427
911,2833
914,3313
92,193
920,2278
977,4224
986,3923
0,1
1005,1657
498,2484
1029,3804
1050,4781
1071,2379
138,489
1089,3956
1089,3956
1092,3592
1101,4293
1107,4221
114,174
1173,3542
1182,3598
1191,2794
1191,2794
12,31
120,250
1212,2729
123,532
109,128
126,329
154,304
132,125
1323,2789
135,717
1365,2474
1365,2474
1401,3595
141,585
1449,2692
147,945
147,945
1491,3168
150,794
1527,1479
153,989
585,926
162,607
165,392
165,392
1662,2596
4398,3852
1713,3501
1713,3501
93,824
177,437
18,58
180,909
1806,3020
1806,3020
183,755
1863,2459
195,1359
841,1255
145,549
207,186
219,969
225,534
228,1074
237,2586
24,66
243,584
252,667
261,935
267,644
270,2331
3873,1229
675,1229
279,589
282,991
285,2340
297,268
3,349
39,598
318,874
321,1176
336,738
694,4839
357,298
316,867
36,86
360,2105
366,2460
369,4111
369,4111
1429,4111
372,715
375,1218
384,1460
390,2344
396,1149
399,2057
408,3032
420,1195
937,3619
429,1058
432,1844
435,1021
438,3911
903,2354
441,3362
447,2996
45,149
456,1396
459,2995
313,1296
465,944
474,1906
477,1622
483,3799
854,2295
495,2072
501,504
504,2894
507,1690
525,2721
528,1913
54,2780
540,4352
555,4238
561,1533
567,981
579,2007
594,3113
612,4144
615,3346
621,2768
624,1775
627,2263
645,3383
66,356
660,2869
669,4274
684,1102
687,3062
69,311
69,311
696,4407
699,2691
705,2329
717,4340
729,3171
759,789
786,3555
792,1083
795,2873
798,2913
798,2913
84,674
858,3983
87,388
870,4475
879,762
882,3974
888,3740
9,33
90,394
1177,3163
921,3390
924,3071
960,2966
10,51
100,495
1042,4906
1042,4906
1063,4025
1063,4025
1069,3057
1069,3057
1096,4193
1114,4320
906,4320
1129,3611
1156,1636
1156,1636
118,173
118,173
16,116
121,509
124,458
1249,4935
1249,4935
13,512
1312,2026
133,1111
1354,2976
1363,3158
1363,3158
232,203
1423,3775
148,621
