id1,id2,matching_probability
0,1,1.0
1,15,1.0
10,51,1.0
100,495,1.0
1005,1657,1.0
1010,1560,1.0
1015,1992,1.0
1029,3804,1.0
104,182,1.0
1040,2850,1.0
1042,4906,1.0
1043,4905,1.0
1050,4781,1.0
1058,2989,1.0
1063,4025,1.0
1069,3057,1.0
107,276,1.0
1071,2379,1.0
1076,2025,1.0
108,553,1.0
1083,2439,1.0
1085,4626,1.0
1089,3956,1.0
109,128,1.0
1090,4998,1.0
1092,3592,1.0
1095,1797,1.0
1096,4193,1.0
11,44,1.0
1101,4293,1.0
1107,4221,1.0
1114,4320,1.0
1118,2161,1.0
1129,3611,1.0
113,432,1.0
1137,1335,1.0
114,174,1.0
1144,3632,1.0
1156,1636,1.0
117,310,1.0
1171,1779,1.0
1173,3542,1.0
1177,3163,1.0
118,173,1.0
1182,3598,1.0
1184,4984,1.0
119,464,1.0
1191,2794,1.0
12,31,1.0
120,250,1.0
121,509,1.0
1211,1773,1.0
1212,2729,1.0
1216,4469,1.0
122,1318,1.0
123,532,1.0
1235,4492,1.0
124,458,1.0
1249,4935,1.0
125,74,1.0
126,329,1.0
1285,4148,1.0
1289,3458,1.0
1294,4936,1.0
1298,4214,1.0
13,512,1.0
1301,449,0.9
131,242,1.0
1312,2026,1.0
132,125,1.0
1320,3981,1.0
1323,2789,1.0
1326,2123,1.0
133,1111,1.0
1337,4200,1.0
134,95,1.0
135,717,1.0
1354,2976,1.0
1359,1999,1.0
1363,3158,1.0
1365,2474,1.0
138,489,1.0
1383,2865,1.0
14,30,1.0
140,391,1.0
1401,3595,1.0
141,585,1.0
1418,4357,1.0
1423,3775,1.0
1429,4111,0.9
143,1459,1.0
144,239,1.0
1442,1584,1.0
1444,4162,1.0
1449,2692,1.0
145,549,1.0
147,945,1.0
148,621,1.0
1492,1465,1.0
15,49,1.0
150,794,1.0
1508,3293,1.0
151,780,1.0
152,321,1.0
1527,1479,1.0
153,989,1.0
1534,4783,1.0
1537,4852,1.0
154,304,1.0
1544,3504,1.0
155,1420,1.0
156,271,1.0
157,294,1.0
1570,4607,1.0
1580,4195,1.0
1589,3609,1.0
16,116,1.0
160,285,1.0
1600,4494,1.0
161,654,1.0
1619,3469,1.0
162,607,1.0
163,315,1.0
1633,4136,1.0
1636,4897,1.0
164,2202,1.0
1640,823,1.0
1646,3273,1.0
165,392,1.0
1662,2596,1.0
167,616,1.0
169,670,1.0
17,151,1.0
170,371,1.0
1713,3501,1.0
172,698,1.0
1726,2781,1.0
173,597,1.0
1739,2644,1.0
1741,2968,1.0
176,1463,1.0
177,437,1.0
18,58,1.0
180,909,1.0
1806,3020,1.0
181,697,1.0
1814,4065,1.0
183,755,1.0
1863,2459,1.0
1869,3520,1.0
1895,4508,1.0
19,5,1.0
192,302,1.0
195,1359,1.0
197,163,1.0
1979,3319,1.0
