_id,id,name,year,duration,genre,actors,Up_System
0,1,Captain Marvel,2019,123 min,"Action, Adventure, Sci-Fi","Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law",CM
1,2,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure","Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali",CM
2,3,Aquaman,2018,143 min,"Action, Adventure, Fantasy","Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson",CM
3,4,Hellboy,2019,120 min,"Action, Adventure, Fantasy","David Harbour,Ian McShane,Milla Jovovich,Penelope Mitchell",CM
4,5,Bumblebee,2018,114 min,"Action, Adventure, Sci-Fi","Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker",CM
5,6,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans",CM
6,7,The Meg,2018,113 min,"Action, Horror, Sci-Fi","Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis",CM
7,8,Alita: Battle Angel,2019,122 min,"Action, Adventure, Romance","Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali",CM
8,9,Captive State,2019,109 min,"Sci-Fi, Thriller","John Goodman,Ashton Sanders,Jonathan Majors,Vera Farmiga",CM
9,10,Mortal Engines,2018,128 min,"Action, Adventure, Fantasy","Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae",CM
10,11,Deadpool 2,2018,119 min,"Action, Adventure, Comedy","Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison",CM
11,12,Black Panther,2018,134 min,"Action, Adventure, Sci-Fi","Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",CM
12,13,Thor: Ragnarok,2017,130 min,"Action, Adventure, Comedy","Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo",CM
13,14,Suicide Squad,2016,123 min,"Action, Adventure, Fantasy","Will Smith,Jared Leto,Margot Robbie,Viola Davis",CM
14,15,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy","Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana",CM
15,16,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy","Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel",CM
16,17,Jurassic World: Fallen Kingdom,2018,128 min,"Action, Adventure, Sci-Fi","Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith",CM
17,18,Overlord,2018,110 min,"Action, Adventure, Horror","Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbk",CM
18,19,Ant-Man and the Wasp,2018,118 min,"Action, Adventure, Comedy","Paul Rudd,Evangeline Lilly,Michael Pea,Walton Goggins",CM
19,20,Glass,2019,129 min,"Drama, Sci-Fi, Thriller","James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy",CM
20,21,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner",CM
21,22,Bird Box,2018,124 min,"Drama, Horror, Sci-Fi","Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson",CM
22,23,Venom,2018,112 min,"Action, Sci-Fi, Thriller","Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze",CM
23,24,A Quiet Place,2018,90 min,"Drama, Horror, Mystery","Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe",CM
24,25,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy",CM
25,26,Spider-Man: Homecoming,2017,133 min,"Action, Adventure, Sci-Fi","Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei",CM
26,27,Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",CM
27,28,Captain America: The First Avenger,2011,124 min,"Action, Adventure, Sci-Fi","Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell",CM
28,29,Justice League,2017,120 min,"Action, Adventure, Fantasy","Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller",CM
29,30,Ready Player One,2018,140 min,"Action, Adventure, Sci-Fi","Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe",CM
30,31,Incredibles 2,2018,118 min,"Animation, Action, Adventure","Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner",CM
31,32,Solo: A Star Wars Story,2018,135 min,"Action, Adventure, Fantasy","Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover",CM
32,33,The Matrix,1999,136 min,"Action, Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving",CM
33,34,Serenity,2019,106 min,"Drama, Mystery, Sci-Fi","Matthew McConaughey,Anne Hathaway,Diane Lane,Jason Clarke",CM
34,35,Inception,2010,148 min,"Action, Adventure, Sci-Fi","Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe",CM
35,36,Passengers,2016,116 min,"Drama, Romance, Sci-Fi","Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne",CM
36,37,Deadpool,2016,108 min,"Action, Adventure, Comedy","Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein",CM
37,38,Annihilation,2018,115 min,"Adventure, Drama, Horror","Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,Benedict Wong",CM
38,39,Wonder Woman,2017,141 min,"Action, Adventure, Fantasy","Gal Gadot,Chris Pine,Robin Wright,Lucy Davis",CM
39,40,Hellboy,2004,122 min,"Action, Fantasy, Horror","Ron Perlman,Doug Jones,Selma Blair,John Hurt",CM
40,41,Transformers: The Last Knight,2017,154 min,"Action, Adventure, Sci-Fi","Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock",CM
41,42,Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi","Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan",CM
42,43,Iron Man,2008,126 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges",CM
43,44,Jurassic Park,1993,127 min,"Adventure, Sci-Fi, Thriller","Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough",CM
44,45,Happy Death Day 2U,2019,100 min,"Drama, Horror, Mystery","Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma",CM
45,46,X-Men: Apocalypse,2016,144 min,"Action, Adventure, Sci-Fi","James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult",CM
46,47,Blade Runner 2049,2017,164 min,"Drama, Mystery, Sci-Fi","Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista",CM
47,48,Thor,2011,115 min,"Action, Adventure, Fantasy","Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston",CM
48,49,A.I. Rising,2018,85 min,"Drama, Romance, Sci-Fi","Sebastian Cavazza,Stoya,Marusa Majer,Kirsty Besterman",CM
49,50,Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi","Tom Hardy,Charlize Theron,Nicholas Hoult,Zo Kravitz",CM
50,51,Escape Room,2019,99 min,"Action, Adventure, Drama","Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine",CM
51,52,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi","Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford",CM
52,53,The First Purge,2018,98 min,"Action, Horror, Sci-Fi","Y'lan Noel,Lex Scott Davis,Joivan Wade,Steve Harris",CM
53,54,Ant-Man,2015,117 min,"Action, Adventure, Comedy","Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly",CM
